社会实践二,96
职业生涯与发展规划,78
马克思主义基本原理概论,88
大学物理Ⅱ,0
线性代数A,93
大学英语Ⅲ,80
社会实践三,95
文献检索,87
概率论与数理统计A,94
大学英语Ⅳ,91
毛泽东思想和中国特色社会主义理论体系概论,88
离散数学,86
大学生就业指导,81
新时代劳动教育,87
社会实践一,90
入学教育,89
高等数学I,92
心理健康教育,92
大学计算机基础,79
艺术鉴赏,85
大学英语Ⅰ,90
思想道德修养与法律基础,82
形势与政策Ⅰ,77
中国近现代史纲要,77
军事理论,84
军事技能训练,80
机械工程训练,79
大学体育Ⅰ,87
大学英语Ⅱ,77
C语言程序设计,73
高等数学Ⅱ,64
公益劳动,85
形势与政策Ⅱ,85
大学语文,90
大学物理Ⅰ,58
社会实践二,93
职业生涯与发展规划,81
马克思主义基本原理概论,82
大学物理Ⅱ,0
线性代数A,94
大学英语Ⅲ,80
社会实践三,92
文献检索,93
概率论与数理统计A,88
大学英语Ⅳ,83
毛泽东思想和中国特色社会主义理论体系概论,88
离散数学,90
大学生就业指导,73
新时代劳动教育,87
社会实践一,95
入学教育,90
高等数学I,82
心理健康教育,85
大学计算机基础,76
艺术鉴赏,87
大学英语Ⅰ,90
思想道德修养与法律基础,83
形势与政策Ⅰ,84
中国近现代史纲要,77
军事理论,78
军事技能训练,80
机械工程训练,80
大学体育Ⅰ,88
大学英语Ⅱ,89
C语言程序设计,73
高等数学Ⅱ,76
公益劳动,85
形势与政策Ⅱ,79
大学语文,88
大学物理Ⅰ,63
社会实践二,96
职业生涯与发展规划,77
马克思主义基本原理概论,88
大学物理Ⅱ,0
线性代数A,91
大学英语Ⅲ,75
社会实践三,93
文献检索,93
概率论与数理统计A,95
大学英语Ⅳ,90
毛泽东思想和中国特色社会主义理论体系概论,91
离散数学,92
大学生就业指导,86
新时代劳动教育,87
社会实践一,77
入学教育,72
高等数学I,78
心理健康教育,75
大学计算机基础,66
艺术鉴赏,81
大学英语Ⅰ,72
思想道德修养与法律基础,61
形势与政策Ⅰ,76
中国近现代史纲要,64
军事理论,83
军事技能训练,80
机械工程训练,60
大学体育Ⅰ,85
大学英语Ⅱ,67
C语言程序设计,47
高等数学Ⅱ,55
公益劳动,85
形势与政策Ⅱ,69
大学语文,81
大学物理Ⅰ,64
社会实践二,76
职业生涯与发展规划,72
马克思主义基本原理概论,78
大学物理Ⅱ,64
线性代数A,86
大学英语Ⅲ,64
社会实践三,85
文献检索,83
概率论与数理统计A,92
大学英语Ⅳ,78
毛泽东思想和中国特色社会主义理论体系概论,77
离散数学,67
大学生就业指导,77
新时代劳动教育,81
社会实践一,82
入学教育,79
高等数学I,81
心理健康教育,75
大学计算机基础,83
艺术鉴赏,83
大学英语Ⅰ,88
思想道德修养与法律基础,71
形势与政策Ⅰ,77
中国近现代史纲要,73
军事理论,84
军事技能训练,80
机械工程训练,78
大学体育Ⅰ,80
大学英语Ⅱ,80
C语言程序设计,71
高等数学Ⅱ,64
公益劳动,85
形势与政策Ⅱ,83
大学语文,83
大学物理Ⅰ,52
社会实践二,95
职业生涯与发展规划,79
马克思主义基本原理概论,78
大学物理Ⅱ,52
线性代数A,87
大学英语Ⅲ,76
社会实践三,93
文献检索,96
概率论与数理统计A,75
大学英语Ⅳ,81
毛泽东思想和中国特色社会主义理论体系概论,77
离散数学,71
大学生就业指导,82
新时代劳动教育,84
社会实践一,93
入学教育,85
高等数学I,92
心理健康教育,88
大学计算机基础,77
艺术鉴赏,83
大学英语Ⅰ,90
思想道德修养与法律基础,86
形势与政策Ⅰ,81
中国近现代史纲要,79
军事理论,83
军事技能训练,80
机械工程训练,81
大学体育Ⅰ,77
大学英语Ⅱ,82
C语言程序设计,86
高等数学Ⅱ,64
公益劳动,85
形势与政策Ⅱ,82
大学语文,89
大学物理Ⅰ,77
社会实践二,96
职业生涯与发展规划,82
马克思主义基本原理概论,91
大学物理Ⅱ,82
线性代数A,85
大学英语Ⅲ,83
社会实践三,95
文献检索,93
概率论与数理统计A,98
大学英语Ⅳ,90
